 ,(,),+,-,;,=,addop,else,float,id,if,int,mulop,num,relop,while,{,},
ASSIGNMENT, , , , , , , , ,ASSIGNMENT --> sync,ASSIGNMENT --> id = EXPRESSION ;,ASSIGNMENT --> sync,ASSIGNMENT --> sync, , , ,ASSIGNMENT --> sync, ,ASSIGNMENT --> sync,
DECLARATION, , , , , , , , ,DECLARATION --> PRIMITIVE_TYPE id ;,DECLARATION --> sync,DECLARATION --> sync,DECLARATION --> PRIMITIVE_TYPE id ;, , , ,DECLARATION --> sync, ,DECLARATION --> sync,
EXPRESSION,EXPRESSION --> SIMPLE_EXPRESSION EXPRESSION",EXPRESSION --> sync,EXPRESSION --> SIMPLE_EXPRESSION EXPRESSION",EXPRESSION --> SIMPLE_EXPRESSION EXPRESSION",EXPRESSION --> sync, , , , ,EXPRESSION --> SIMPLE_EXPRESSION EXPRESSION", , , ,EXPRESSION --> SIMPLE_EXPRESSION EXPRESSION", , , , ,
FACTOR,FACTOR --> ( EXPRESSION ),FACTOR --> sync, , ,FACTOR --> sync, ,FACTOR --> sync, , ,FACTOR --> id, , ,FACTOR --> sync,FACTOR --> num,FACTOR --> sync, , , ,
IF, , , , , , , , ,IF --> sync,IF --> sync,IF --> if ( EXPRESSION ) { STATEMENT } else { STATEMENT },IF --> sync, , , ,IF --> sync, ,IF --> sync,
METHOD_BODY, , , , , , , , ,METHOD_BODY --> STATEMENT_LIST,METHOD_BODY --> STATEMENT_LIST,METHOD_BODY --> STATEMENT_LIST,METHOD_BODY --> STATEMENT_LIST, , , ,METHOD_BODY --> STATEMENT_LIST, , ,
PRIMITIVE_TYPE, , , , , , , , ,PRIMITIVE_TYPE --> float,PRIMITIVE_TYPE --> sync, ,PRIMITIVE_TYPE --> int, , , , , , ,
SIGN, , ,SIGN --> +,SIGN --> -, , , , , , , , , , , , , , ,
SIMPLE_EXPRESSION,SIMPLE_EXPRESSION --> TERM SIMPLE_EXPRESSION',SIMPLE_EXPRESSION --> sync,SIMPLE_EXPRESSION --> + TERM SIMPLE_EXPRESSION',SIMPLE_EXPRESSION --> - TERM SIMPLE_EXPRESSION',SIMPLE_EXPRESSION --> sync, , , , ,SIMPLE_EXPRESSION --> TERM SIMPLE_EXPRESSION', , , ,SIMPLE_EXPRESSION --> TERM SIMPLE_EXPRESSION',SIMPLE_EXPRESSION --> sync, , , ,
STATEMENT, , , , , , , , ,STATEMENT --> DECLARATION,STATEMENT --> ASSIGNMENT,STATEMENT --> IF,STATEMENT --> DECLARATION, , , ,STATEMENT --> WHILE, ,STATEMENT --> sync,
STATEMENT_LIST, , , , , , , , ,STATEMENT_LIST --> DECLARATION STATEMENT_LIST',STATEMENT_LIST --> ASSIGNMENT STATEMENT_LIST',STATEMENT_LIST --> IF STATEMENT_LIST',STATEMENT_LIST --> DECLARATION STATEMENT_LIST', , , ,STATEMENT_LIST --> WHILE STATEMENT_LIST', , ,
TERM,TERM --> ( EXPRESSION ) TERM',TERM --> sync, , ,TERM --> sync, ,TERM --> sync, , ,TERM --> id TERM', , , ,TERM --> num TERM',TERM --> sync, , , ,
WHILE, , , , , , , , ,WHILE --> sync,WHILE --> sync,WHILE --> sync,WHILE --> sync, , , ,WHILE --> while ( EXPRESSION ) { STATEMENT }, ,WHILE --> sync,
SIMPLE_EXPRESSION', ,SIMPLE_EXPRESSION' --> Epsilon , , ,SIMPLE_EXPRESSION' --> Epsilon , ,SIMPLE_EXPRESSION' --> addop TERM SIMPLE_EXPRESSION', , , , , , , ,SIMPLE_EXPRESSION' --> Epsilon , , , ,
STATEMENT_LIST', , , , , , , , ,STATEMENT_LIST' --> STATEMENT STATEMENT_LIST',STATEMENT_LIST' --> STATEMENT STATEMENT_LIST',STATEMENT_LIST' --> STATEMENT STATEMENT_LIST',STATEMENT_LIST' --> STATEMENT STATEMENT_LIST', , , ,STATEMENT_LIST' --> STATEMENT STATEMENT_LIST', , ,
TERM', ,TERM' --> Epsilon , , ,TERM' --> Epsilon , ,TERM' --> Epsilon , , , , , ,TERM' --> mulop FACTOR TERM', ,TERM' --> Epsilon , , , ,
EXPRESSION", ,EXPRESSION" --> Epsilon , , ,EXPRESSION" --> Epsilon , , , , , , , , , ,EXPRESSION" --> relop SIMPLE_EXPRESSION, , , ,
